suhu,oksigen_terlarut,ph,berat_mean,age,pertumbuhan_berat
24.9896785496648,7.47308226691042,8.409662992078,2.91,0,0.94
23.4940996503496,4.9431013986014,7.31343017482517,3.2,0,0.61
25.3964720194647,7.17765693430657,8.4065885109489,3.36,0,0.7
25.0596662468514,5.87261712846348,7.29318793450882,3.81,1,0.61
25.6545,8.41849292307692,8.40076916307692,3.85,1,0.94
25.9300595238095,8.02617095238095,8.39548152857143,4.06,1,0.7
24.7458584337349,4.71153012048193,7.29332376506024,4.42,2,0.61
25.307929969104,6.714,8.4054468177137,4.76,2,0.7
25.3220588235294,7.09508725490196,8.40547083333333,4.79,2,0.94
24.3242753623188,6.10290289855072,7.30278660869565,5.03,3,0.609999999999999
25.0706740442656,9.2354476861167,8.33421807847082,5.46,3,0.7
25.0572061365601,9.76824719101124,8.33379923941227,5.73,3,0.94
23.8518793942672,4.49720713899405,7.3209744456463,5.64,4,0.61
24.5181005110732,6.0529101362862,8.32686497870528,6.16,4,0.700000000000001
24.625,4.817,8.01148,6.23,4,0.79
24.5153449353897,6.22035848270113,8.32648209253856,6.67,4,0.94
23.7201395458846,4.99491485335856,7.31606280983917,6.25,5,0.61
24.3190085592011,6.31934807417974,8.23857727532097,6.86,5,0.699999999999998
24.3848911968348,8.82959742828882,8.23001052423343,7.61,5,0.94
24.3279516640254,5.29039302694136,7.30244912836767,6.86,6,0.61
24.710627753304,5.65784801762114,8.18024433920705,7.56,6,0.7
26.25,6.888,8.05354066666667,7.81,6,0.79
24.7836920529801,6.12805165562914,8.16885863576159,8.55,6,0.94
24.1559903047091,6.55237673130194,7.30036429362881,8.69,9,0.610000000000001
24.9528985507246,8.69898260869565,7.95099939130435,9.66,9,0.699999999999999
25.1279932950192,7.73067049808429,7.94844201149425,10.18,9,0.790000000000001
25.0257132132132,11.7077402402402,7.95415756756757,11.37,9,0.940000000000001
23.8307786885246,5.05753672131148,7.29851044918033,9.3,10,0.609999999999999
24.5486284846319,5.84678556111508,7.91966855611151,10.36,10,0.700000000000001
24.6795902489627,5.76318215767635,7.93311661825726,10.97,10,0.789999999999999
24.5649111482381,5.96252339003645,7.91693802855407,12.31,10,0.94
23.8973153214774,5.20815389876881,7.2987209370725,9.91,11,0.609999999999999
24.4392992424242,6.36688939393939,7.87393653030303,11.06,11,0.699999999999999
24.1709956709957,6.61395670995671,7.90740380952381,11.76,11,0.79
24.510951979781,7.5061651221567,7.86874050547599,13.25,11,0.94
24.1411521323997,5.0401190324634,7.30712807765754,10.52,12,0.610000000000001
25.0110469745223,7.00686624203822,7.82162891719745,11.76,12,0.700000000000001
25.0735359361136,8.32995740905058,7.81766511978705,14.19,12,0.940000000000001
24.3315377804014,4.71025974025974,7.45962172373082,11.13,13,0.569999999999999
24.9946625344353,6.41601377410468,7.80187246556474,12.46,13,0.639999999999999
25.8920855379189,7.04041798941799,7.82756955908289,13.34,13,0.76
24.9507225433526,6.65612832369942,7.80091778034682,15.13,13,1.075
23.9791666666667,4.95466666666667,7.14746333333333,11.7,14,1.28
24.4850047984645,3.7346679462572,7.7651843378119,13.1,14,0.890000000000001
24.8732018308631,6.61876285963383,7.8265470880558,14.1,14,2.22
24.072337962963,5.66752777777778,7.38261268518519,12.98,15,1.28
