suhu,oksigen_terlarut,ph,amonia,berat_mean,age,pertumbuhan_berat
24.9896785496648,7.47308226691042,8.409662992078,0.45842,2.91,0,0.94
25.6545,8.41849292307692,8.40076916307692,0.45842,3.85,1,0.94
25.3220588235294,7.09508725490196,8.40547083333333,0.45842,4.79,2,0.94
25.0575259515571,9.76705363321799,8.33379532871972,0.45842,5.73,3,0.94
24.5153449353897,6.22035848270113,8.32648209253856,0.45842,6.67,4,0.94
24.3848911968348,8.82959742828882,8.23001052423343,0.45842,7.61,5,0.94
24.7836920529801,6.12805165562914,8.16885863576159,0.45842,8.55,6,0.94
25.0257132132132,11.7077402402402,7.95415756756757,0.45842,11.37,9,0.940000000000001
24.5649111482381,5.96252339003645,7.91693802855407,0.45842,12.31,10,0.94
24.510951979781,7.5061651221567,7.86874050547599,0.45842,13.25,11,0.94
25.0634667879891,8.32084986351228,7.81764671519563,0.45842,14.19,12,0.940000000000001
24.9494634570766,6.6572656612529,7.80109075406033,0.45842,15.13,13,1.075
24.8238636363636,8.47472727272727,7.56867272727273,0.45842,23.73,21,1.09
25.0658741694352,7.21234634551495,7.56700049003322,5937.50632376246,24.82,22,1.09
24.2232824427481,3.88333333333333,7.56273984732824,0.45842,25.91,23,1.06
23.6302966101695,7.12377966101695,7.55237440677966,0.45842,26.97,24,1.06
25.2783935100548,7.72215539305302,7.51484302559415,12001.0890784369,28.03,25,1.09
24.4140625,5.93129166666667,7.51894041666667,29.8580070833333,29.12,26,1.09
24.1875,2.516,7.52348,17.64861,30.21,27,1.19
24.7043022260274,6.66987842465753,7.47473145547945,0.45842,31.4,28,2.33
24.6609492481203,7.07046616541353,7.48399518796992,0.45842,33.73,29,2.33000000000001
24.7337555066079,5.62824669603524,7.44587008810573,0.45842,36.06,30,2.33
24.5808634020619,2.86199742268041,7.43721904639175,0.45842,38.39,31,2.33
24.6524621212121,1.33557575757576,7.43901878787879,0.45842,40.72,32,2.33
24.4375,0.811,7.423615,0.45842,43.05,33,0.330000000000005
24.3705128205128,5.91294358974359,7.4088697948718,21.6607756410256,43.38,34,4.33
24.3793135095448,5.34687665198238,7.39860948604993,16.5449502202643,47.71,35,2.33
24.3809353546911,5.28861784897025,7.39110231121281,12.6614189473684,50.04,36,2.33
24.1506517379679,5.29851871657754,7.3839070855615,11.9327746657754,52.37,37,2.33000000000001
24.0563492063492,5.5585380952381,7.36870766666667,18.3048564761905,54.7,38,2.33
24.3241279069767,6.21671760797342,7.34405282392026,25.7307697342193,57.03,39,2.33
24.9803530751708,3.55737813211845,7.30647412300683,21.5393609794989,59.36,40,2.33
24.9237132352941,10.1235147058824,7.31553779411765,33.7387030882353,61.69,41,2.31
24.4625,10.7,7.281528,4.272938,64,42,0.439999999999998
24.40625,16.6335,7.2897,3.350945,64.88,44,0.439999999999998
24.3958333333333,13.253,7.27910666666667,3.92972666666667,65.32,45,0.440000000000012
25.15,15.2545,7.24794,1.298676,65.76,46,0.439999999999998
24.5166495901639,5.69809426229508,7.23725799180328,0.480904221311475,66.2,47,0.439999999999998
24.0833333333333,5.06233333333333,7.23069,0.469123333333333,66.64,48,0.439999999999998
24.3898305084746,4.60495084745763,7.16987957627119,0.454261576271186,67.08,49,0.439999999999998
23.957962633452,7.55603825622776,7.16399587188612,0.475307428825623,67.52,50,0.439999999999998
24.4459345479082,3.85938326585695,7.14001591093117,0.4908930634278,67.96,51,0.440000000000012
23.8684606848446,5.29589473684211,7.13411045022194,0.476091223842739,68.4,52,0.439999999999998
23.672020400859,4.02141732283465,7.12873030780243,0.491932848962062,68.84,53,0.439999999999998
23.2603938730853,3.60455361050328,7.12280297592998,0.475100481400438,69.28,54,0.439999999999998
23.8526976495727,4.53191025641026,7.1013488034188,0.479842670940171,69.72,55,0.480000000000004
24.3144060995185,5.7139165329053,7.08926271268058,0.505888844301766,70.2,56,3.92999999999999
25.0852272727273,2.73327272727273,7.06602909090909,0.499208181818182,74.13,57,3.92
24.1182692307692,2.58618461538462,7.07173923076923,0.484324307692308,78.05,58,3.92
23.4756355932203,2.85381355932203,7.07227,0.486449322033898,81.97,59,3.92
