suhu,oksigen_terlarut,ph,berat_mean,cuaca_normal,umur,pertumbuhan_berat
25.3301068021416,8.19352620820244,8.40318776115286,2.91,1,0,0.94
25.777336496857,8.99440707778992,8.39598464321457,3.85,1,1,0.94
25.1294508794509,7.00385964535965,8.40561307664808,4.79,0,2,0.94
25.0575259515571,9.76705363321799,8.33379532871972,5.73,1,3,0.94
24.4932226679347,6.29026701996869,8.32365698991618,6.67,0,4,0.94
24.4049963256907,8.91507756025866,8.22905476554967,7.61,1,5,0.94
25.125040833428,9.67854952088781,8.12410495758058,8.55,1,6,0.94
25.0257132132132,11.7077402402402,7.95415756756757,11.37,1,9,0.940000000000001
24.5801065598809,6.11188613759007,7.91433255159087,12.31,1,10,0.94
24.6038328020441,8.0928502446618,7.86267144446581,13.25,1,11,0.94
25.1101336730773,8.61088202491455,7.81599416727335,14.19,1,12,0.940000000000001
25.369073275862,8.5946292364532,7.78785318399015,15.13,1,13,1.075
24.8238636363636,8.47472727272727,7.56867272727273,23.73,1,21,1.09
24.9823399147581,7.23709318065112,7.5694708021978,24.82,1,22,1.09
24.2232824427481,3.88333333333333,7.56273984732824,25.91,1,23,1.06
23.6302966101695,7.12377966101695,7.55237440677966,26.97,1,24,1.06
25.2263464181049,7.55821061569835,7.51597612419982,28.03,1,25,1.09
24.4140625,5.93129166666667,7.51894041666667,29.12,1,26,1.09
24.1875,2.516,7.52348,30.21,1,27,1.19
24.4064946183953,6.8912084148728,7.47213280821918,31.4,1,28,2.33
24.7344450044802,7.01640815412186,7.47435637992831,33.73,1,29,2.33000000000001
24.6380655965622,5.66389670753286,7.4501851497725,36.06,1,30,2.33
24.5677147239264,3.09886229038855,7.4384389929107,38.39,1,31,2.33
24.6053240740741,1.3950462962963,7.43449875,40.72,0,32,2.33
24.4375,0.811,7.423615,43.05,1,33,0.330000000000005
24.1268357240437,5.65615846994536,7.41346103825137,43.38,1,34,4.33
24.2764277678587,5.35179019020204,7.40060693531491,47.71,1,35,2.33
24.3894386610558,5.27828805741184,7.39086137740092,50.04,1,36,2.33
24.1549924864125,5.28538008134471,7.38344492740165,52.37,1,37,2.33000000000001
24.1524207064478,5.69196149954147,7.3668259066186,54.7,1,38,2.33
24.3899602272727,6.00537511363637,7.34198705386363,57.03,1,39,2.33
24.6268232163407,5.73051205408516,7.30108419879171,59.36,1,40,2.33
24.9237132352941,10.1235147058824,7.31553779411765,61.69,1,41,2.31
24.4625,10.7,7.281528,64,1,42,0.439999999999998
24.40625,16.6335,7.2897,64.88,1,44,0.439999999999998
24.25,14.1955,7.281755,65.32,1,45,0.440000000000012
25.15,15.2545,7.24794,65.76,1,46,0.439999999999998
24.2593878600823,4.98150823045268,7.2407694855967,66.2,1,47,0.439999999999998
24.0833333333333,5.06233333333333,7.23069,66.64,1,48,0.439999999999998
24.3898305084746,4.60495084745763,7.16987957627119,67.08,1,49,0.439999999999998
24.3153211805556,8.29150099206349,7.15303993979201,67.52,1,50,0.439999999999998
24.4459345479082,3.85938326585695,7.14001591093117,67.96,1,51,0.440000000000012
23.8859591308911,5.05522164109484,7.13258659126726,68.4,1,52,0.439999999999998
23.6712106299213,4.0264280839895,7.12854577165355,68.84,0,53,0.439999999999998
23.3008914821444,3.54289284525097,7.12044826947889,69.28,1,54,0.439999999999998
23.8272903256863,4.5107324365957,7.10168240138637,69.72,1,55,0.480000000000004
24.3800264560917,5.57806549728325,7.08746975511672,70.2,1,56,3.92999999999999
24.7375,4.47375,7.078841,74.13,1,57,3.92
24.0622916666666,2.43699666666667,7.07250506666666,78.05,1,58,3.92
23.6942806603773,2.48366037735849,7.06569147798742,81.97,1,59,3.92
24.0107954545454,3.40170909090909,7.05918009090909,85.89,1,60,3.93
24.375,1.1125,7.01581666666667,93.75,1,62,3.90000000000001
23.9625,2.7869,7.016876,97.65,1,63,3.91999999999999
24.15625,1.72483333333333,6.99160833333334,101.57,1,64,2.92
24.1875,1.808,6.98556,104.49,1,65,4.17
25.311773255814,1.49327906976744,6.93630686046512,121.17,1,69,4.03
